,precision,recall,f1-score,support
non-toxic,0.9414556962025317,0.9306569343065694,0.9360251704247509,1918.0
toxic,0.8652482269503546,0.8849740932642487,0.875,965.0
accuracy,0.9153659382587582,0.9153659382587582,0.9153659382587582,0.9153659382587582
macro avg,0.9033519615764432,0.907815513785409,0.9055125852123754,2883.0
weighted avg,0.9159474728836449,0.9153659382587582,0.915598777965547,2883.0
